40,-75.246480,-75.241920,1.000000,-75.221720
46.630000,0.917970,-75.175700,-75.175700,1.000000,-75.157840
46.631000,0.947270,-75.175700,-75.175700,1.000000,-75.157840
46.632000,0.917970,-75.175700,-75.175700,1.000000,-75.157860
46.648000,0.937500,-75.175700,-75.175700,1.000000,-75.157780
46.649000,0.957030,-75.175700,-75.175700,1.000000,-75.157780
46.651000,0.937500,-75.175710,-75.175700,1.000000,-75.157750
46.652000,0.927730,-75.175700,-75.175700,1.000000,-75.157750
46.653000,0.947270,-75.175710,-75.175700,1.000000,-75.157750
46.654000,0.976560,-75.175700,-75.175700,1.000000,-75.157750
46.655000,0.957030,-75.175700,-75.175700,1.000000,-75.157750
46.656000,0.927730,-75.175700,-75.175700,1.000000,-75.157740
46.657000,0.957030,-75.175680,-75.175700,1.000000,-75.157750
46.658000,0.917970,-75.175700,-75.175700,1.000000,-75.157750
46.659000,0.927730,-75.175700,-75.175700,1.000000,-75.157760
46.660000,0.908200,-75.175700,-75.175700,1.000000,-75.157750
46.661000,0.937500,-75.175700,-75.175700,1.000000,-75.157750
46.662000,0.937500,-75.175700,-75.175700,1.000000,-75.157750
46.663000,0.937500,-75.175700,-75.175700,1.000000,-75.157750
46.664000,0.937500,-75.175700,-75.175700,1.000000,-75.157780
46.665000,0.917970,-75.175700,-75.175700,1.000000,-75.157780
46.666000,0.947270,-75.175700,-75.175700,1.000000,-75.157780
46.667000,0.947270,-75.175700,-75.175700,1.000000,-75.157780
46.668000,0.937500,-75.175700,-75.175700,1.000000,-75.157780
46.681000,0.937500,-75.175700,-75.175700,1.000000,-75.157710
46.682000,0.947270,-75.175700,-75.175700,1.000000,-75.157690
46.684000,0.947270,-75.175700,-75.175700,1.000000,-75.157680
46.685000,0.927730,-75.175700,-75.175700,1.000000,-75.157680
46.686000,0.908200,-75.175710,-75.175700,1.000000,-75.157680
46.687000,0.937500,-75.175700,-75.175700,1.000000,-75.157680
46.688000,0.937500,-75.175700,-75.175700,1.000000,-75.157670
46.689000,0.957030,-75.175700,-75.175700,1.000000,-75.157680
46.690000,0.917970,-75.175700,-75.175700,1.000000,-75.157680
46.691000,0.898440,-75.175700,-75.175700,1.000000,-75.157690
46.691000,0.898440,-75.175700,-75.175700,1.000000,-75.157690
46.692000,0.937500,-75.175700,-75.175700,1.000000,-75.157690
46.693000,0.917970,-75.175700,-75.175700,1.000000,-75.157710
46.694000,0.937500,-75.175700,-75.175700,1.000000,-75.157710
46.695000,0.917970,-75.175700,-75.175700,1.000000,-75.157710
46.696000,0.898440,-75.175700,-75.175700,1.000000,-75.157710
46.697000,0.908200,-75.175710,-75.175700,1.000000,-75.157710
46.698000,0.957030,-75.175700,-75.175700,1.000000,-75.157690
46.699000,0.937500,-75.175700,-75.175700,1.000000,-75.157710
46.700000,0.947270,-75.175700,-75.175700,1.000000,-75.157710
46.701000,0.927730,-75.175700,-75.175700,1.000000,-75.157680
46.711000,0.917970,-75.175700,-75.175700,1.000000,-75.157680
46.712000,0.947270,-75.175700,-75.175700,1.000000,-75.157680
46.714000,0.947270,-75.175700,-75.175700,1.000000,-75.157670
46.715000,0.908200,-75.175700,-75.175700,1.000000,-75.157650
46.716000,0.927730,-75.175700,-75.175700,1.000000,-75.157670
46.717000,0.917970,-75.175700,-75.175700,1.000000,-75.157650
46.718000,0.937500,-75.175700,-75.175700,1.000000,-75.157670
46.719000,0.917970,-75.175700,-75.175700,1.000000,-75.157670
46.720000,0.937500,-75.175700,-75.175700,1.000000,-75.157670
46.721000,0.937500,-75.175700,-75.175700,1.000000,-75.157650
46.722000,0.947270,-75.175700,-75.175700,1.000000,-75.157670
46.723000,0.898440,-75.175700,-75.175700,1.000000,-75.157670
46.724000,0.917970,-75.175700,-75.175700,1.000000,-75.157650
46.725000,0.937500,-75.175700,-75.175700,1.000000,-75.157650
